age,gender,income,credit_score,transaction_amount,merchant_category,merchant_country,merchant_city,transaction_time,label
56,F,12135,885,8599,Restaurants,USA,Mexico City,19,0.0
37,M,43589,453,5827,Gas,Mexico,Toronto,23,0.0
66,F,95164,347,8578,Restaurants,Canada,New York,20,0.0
41,M,54078,672,4637,Gas,USA,New York,0,0.0
34,F,10590,737,699,Entertainment,Canada,Los Angeles,13,0.0
42,M,74476,502,2088,Grocery,Canada,Toronto,5,0.0
65,F,9042,691,4587,Entertainment,Canada,Toronto,8,0.0
66,M,6934,763,6512,Restaurants,Mexico,Mexico City,20,0.0
53,F,6763,327,7744,Entertainment,USA,Los Angeles,17,0.0
30,F,9169,683,1852,Restaurants,Canada,Mexico City,12,0.0
63,M,90001,755,9640,Restaurants,Mexico,Vancouver,2,0.0
22,M,74498,461,5968,Gas,Mexico,New York,17,0.0
63,M,72056,364,6645,Restaurants,USA,Mexico City,23,0.0
40,M,89903,630,8474,Grocery,USA,Los Angeles,8,0.0
63,F,3253,691,7998,Restaurants,Canada,Toronto,1,0.0
46,F,33335,580,1380,Grocery,Canada,Los Angeles,23,0.0
20,F,19488,717,8697,Gas,USA,Toronto,16,0.0
18,F,82593,508,7215,Entertainment,Mexico,New York,6,0.0
57,M,34037,766,4167,Restaurants,USA,Mexico City,13,0.0
65,M,60113,400,1298,Gas,USA,Mexico City,4,0.0
19,F,18612,858,9119,Gas,Mexico,Mexico City,4,0.0
39,M,35630,696,5390,Restaurants,Mexico,New York,4,0.0
38,F,19508,715,7751,Restaurants,Mexico,New York,11,0.0
61,F,6368,313,6655,Entertainment,Canada,Vancouver,18,0.0
58,M,82372,347,6650,Restaurants,Mexico,Toronto,4,0.0
27,M,44366,470,143,Restaurants,USA,Los Angeles,9,0.0
52,M,55102,350,5529,Entertainment,Canada,Vancouver,8,0.0
52,M,24657,464,9152,Entertainment,USA,Toronto,3,0.0
42,F,35436,576,5605,Gas,Canada,Los Angeles,21,0.0
46,F,99721,649,3045,Grocery,USA,Los Angeles,23,0.0
43,M,45525,409,6008,Grocery,Canada,Los Angeles,2,0.0
49,F,75309,850,9542,Gas,Mexico,Mexico City,21,0.0
65,F,61837,713,9442,Gas,Mexico,Toronto,11,0.0
54,F,52687,351,7856,Entertainment,Canada,Los Angeles,2,0.0
42,F,70624,377,1979,Gas,Canada,Los Angeles,17,0.0
53,M,82276,720,8097,Gas,Mexico,Los Angeles,22,0.0
63,M,26855,830,6449,Grocery,USA,Mexico City,11,0.0
61,M,31446,760,5354,Gas,Canada,Los Angeles,4,0.0
63,F,21302,487,1957,Grocery,Canada,Mexico City,11,0.0
28,M,71697,459,7895,Grocery,Canada,Toronto,6,0.0
69,F,30592,784,9707,Grocery,Mexico,New York,2,0.0
67,M,58427,644,3072,Grocery,USA,New York,22,0.0
57,F,59457,405,973,Restaurants,Canada,New York,6,0.0
53,M,8734,850,4910,Restaurants,USA,Mexico City,19,0.0
31,F,68029,685,1215,Grocery,Mexico,Toronto,15,0.0
32,M,60085,802,6033,Gas,Mexico,Mexico City,14,0.0
34,F,20069,510,1413,Restaurants,Canada,Mexico City,18,0.0
55,M,62116,451,5507,Restaurants,Canada,Los Angeles,20,0.0
29,F,38832,483,7859,Restaurants,USA,Vancouver,9,0.0
21,M,6536,527,6488,Gas,USA,New York,21,0.0
28,F,68060,307,4447,Grocery,Canada,Vancouver,22,0.0
60,M,87650,304,1948,Restaurants,Canada,Toronto,18,0.0
68,F,58642,379,5567,Grocery,USA,Los Angeles,6,0.0
34,F,35198,782,77,Grocery,Canada,Mexico City,23,0.0
22,F,96237,354,1382,Entertainment,Canada,Vancouver,21,0.0
29,F,69991,864,3780,Entertainment,Mexico,Mexico City,11,0.0
33,M,51869,502,6337,Entertainment,Canada,Mexico City,12,0.0
34,M,63232,514,206,Grocery,USA,Vancouver,13,0.0
37,F,91627,323,6998,Entertainment,Canada,Mexico City,18,0.0
47,M,76333,444,2801,Gas,Canada,Los Angeles,4,0.0
43,M,5081,357,8224,Grocery,Mexico,Mexico City,2,0.0
20,F,5818,507,3386,Entertainment,Canada,Toronto,9,0.0
50,F,36386,427,8827,Gas,USA,Mexico City,0,0.0
30,F,94018,733,8612,Entertainment,USA,Los Angeles,2,0.0
32,M,9675,704,1624,Restaurants,Canada,Los Angeles,14,0.0
28,F,97787,836,2099,Entertainment,USA,Los Angeles,5,0.0
33,F,4491,795,154,Grocery,USA,Mexico City,23,0.0
32,F,99432,453,5771,Gas,Mexico,Mexico City,15,0.0
19,F,45534,455,1555,Grocery,Canada,Los Angeles,0,0.0
27,F,29910,389,2795,Grocery,Mexico,Toronto,18,0.0
68,F,85753,436,3330,Gas,USA,Toronto,4,0.0
67,M,62985,889,7434,Restaurants,Mexico,Vancouver,2,0.0
34,F,88260,326,6553,Entertainment,Mexico,Toronto,13,0.0
69,M,31721,443,7872,Restaurants,Mexico,Vancouver,22,0.0
47,M,69979,527,6008,Restaurants,Mexico,Toronto,10,0.0
67,F,77463,587,2209,Gas,USA,Mexico City,0,0.0
57,M,70911,697,6164,Grocery,USA,Mexico City,7,0.0
52,M,51776,508,9415,Restaurants,USA,Los Angeles,16,0.0
66,M,72913,646,4994,Gas,Canada,Vancouver,3,0.0
18,F,79053,436,2590,Grocery,USA,Mexico City,4,0.0
34,M,41201,521,2379,Restaurants,Canada,Mexico City,12,0.0
20,M,69776,789,499,Restaurants,USA,Mexico City,20,0.0
24,M,21032,667,9864,Entertainment,Mexico,Toronto,2,0.0
37,F,42484,314,2217,Entertainment,USA,Vancouver,2,0.0
46,F,36615,888,2985,Restaurants,Mexico,Vancouver,16,0.0
39,M,22490,612,4011,Gas,USA,Toronto,17,0.0
64,M,43076,798,7712,Restaurants,Canada,Toronto,4,0.0
26,M,71965,578,3385,Entertainment,Mexico,Los Angeles,20,0.0
50,M,20027,456,3446,Restaurants,Canada,New York,19,0.0
59,M,99146,695,5576,Entertainment,Mexico,Toronto,3,0.0
55,M,35088,377,7087,Grocery,USA,New York,7,0.0
52,M,63029,753,2159,Restaurants,Canada,Los Angeles,18,0.0
61,F,27104,432,7193,Restaurants,Canada,Los Angeles,16,0.0
31,F,87459,434,1677,Gas,Canada,New York,12,0.0
58,M,42156,808,782,Gas,Canada,Toronto,2,0.0
19,M,35564,590,7446,Gas,USA,Mexico City,15,0.0
40,F,48920,461,2451,Gas,Canada,Vancouver,2,0.0
47,M,68124,849,9315,Gas,USA,New York,12,0.0
46,M,2844,898,4344,Grocery,Canada,Los Angeles,8,0.0
58,F,56473,515,336,Gas,Mexico,New York,3,0.0
42,F,28343,429,7808,Gas,Mexico,Vancouver,21,0.0
41,F,10441,613,6033,Restaurants,USA,Toronto,23,0.0
21,F,89164,801,2797,Restaurants,USA,Toronto,4,0.0
68,M,80644,854,2362,Entertainment,Mexico,Vancouver,5,0.0
37,F,22874,338,3397,Restaurants,USA,Vancouver,4,0.0
48,M,86788,613,1950,Restaurants,Mexico,New York,23,0.0
48,M,2871,710,1862,Restaurants,Canada,New York,19,0.0
37,M,27486,721,9375,Grocery,Canada,Vancouver,4,0.0
